Alkemisten	Alkemisten är den magiska historien om Santiago, en andalusisk herdepojke, som följer sin dröm om att finna en av världens dyrbaraste skatter.	9,78918E+12	1988	Paulo	Coelho	Skönlitteratur
Brott och straff	Brott och straff har kallats världens mest berömda roman och är en av världens mest lästa böcker.	9,7891E+12	1866	Fjodor	Dostojevskij	Klassiker
Carrie	A beautiful edition of King's first published work.	9,7814E+12	1974	Stephen	King	Skräck
Den allvarsamma leken	Mig får du älska på ett hedniskt vis.	9,78917E+12	1912	Hjalmar	Söderberg	Roman
Egenmäktigt förfarande	Vinnare av Augustpriset 2013.	9,78913E+12	2013	Lena	Andersson	Roman
Flickan som lekte med elden	Uppföljaren till Män som hatar kvinnor.	9,78911E+12	2006	Stieg	Larsson	Deckare
Gösta Berlings saga	En storslagen debutroman från 1891.	9,78917E+12	1891	Selma	Lagerlöf	Klassiker
Hemsöborna	Skärgårdsroman av August Strindberg.	9,78919E+12	1887	August	Strindberg	Klassiker
Inferno	Robert Langdon vaknar på ett sjukhus i Florens.	9,7891E+12	2013	Dan	Brown	Thriller
Jag är Zlatan Ibrahimović	Självbiografin om Zlatan.	9,7891E+12	2011	Zlatan	Ibrahimovic	Biografi
Kallocain	Dystopisk roman skriven 1940.	9,78919E+12	1940	Karin	Boye	Dystopi
Little Fires Everywhere	En psykologisk roman om familj och hemligheter.	9,78035E+12	2018	Celeste	Ng	Roman
Män som hatar kvinnor	Deckare om Harriet Vangers försvinnande.	9,78911E+12	2015	Stieg	Larsson	Deckare
Norwegian Wood	En lågmäld kärlekshistoria.	9,78911E+12	2018	Haruki	Murakami	Roman
Ondskan	En roman om våld och uppfostran.	9,78916E+12	1981	Jan	Guillou	Roman
Vad gör Pippi Långstrump	Världens starkaste flicka.	9,78913E+12	1945	Astrid	Lindgren	Barn
Processen	En man arresteras utan att veta varför.	9,78917E+12	1925	Franz	Kafka	Klassiker
Quiet	En bok om introvertas styrkor.	9,78031E+12	2013	Susan	Cain	Facklitteratur
Robinson Crusoe	En berättelse om överlevnad.	9,78919E+12	1719	Daniel	Defoe	Äventyr
Stolthet och fördom	Klassisk kärleksroman.	9,78918E+12	1813	Jane	Austen	Klassiker
The Hobbit	Fantasyroman om Bilbo Baggins.	9,78001E+12	1937	J.R.R	Tolkien	Fantasy
Utvandrarna	Om svenska emigranter till Amerika.	9,78917E+12	1949	Vilhelm	Moberg	Historisk
Vi mot er	En berättelse om lojalitet och våld.	9,78914E+12	2022	Fredrik	Backman	Roman
We Were Liars	Suspense-roman om hemligheter.	9,78147E+12	2014	E.	Lockhart	Thriller
Xenogenesis	Science fiction-roman.	9,78177E+12	2024	Tracy	Cooper	Science fiction
You	Psykologisk thriller.	9,78147E+12	2018	Caroline	Kepnes	Thriller
Vita tänder	Roman om kultur och identitet.	9,78918E+12	2017	Zadie	Smith	Roman
Ålevangeliet	En bok om ålen och livet.	9,7891E+12	2020	Patrik	Svensson	Facklitteratur
Änglar och demoner	Thriller om Illuminati.	9,7891E+12	2000	Dan	Brown	Thriller
Överlevarna	En psykologisk roman.	9,7891E+12	2021	Alex	Schulman	Roman
